Query,TFIDF_ms,LSH_ms,SH_ms,P@10_LSH,R@10_LSH,P@10_SH,R@10_SH,LSH_Hits
What is the minimum GPA requirement?,2.8,9.2,22.4,0.20,0.20,0.20,0.20,10
What happens if a student fails a course...,3.3,10.7,27.3,0.60,0.60,0.00,0.00,10
What is the attendance policy?,3.0,10.6,30.1,0.20,0.20,0.00,0.00,10
How many times can a course be repeated?,3.2,9.7,25.4,0.20,0.20,0.10,0.10,10
What is academic probation?,2.8,11.1,25.3,0.20,0.20,0.20,0.20,10
What are the hostel rules and regulation...,4.0,9.8,28.5,0.20,0.20,0.00,0.00,10
What is the fee refund policy?,3.5,14.1,25.2,0.30,0.30,0.00,0.00,10
How is CGPA calculated?,2.7,10.8,26.1,0.00,0.00,0.10,0.10,10
What are the examination rules?,3.2,9.8,27.7,0.00,0.00,0.30,0.30,10
What is the policy on plagiarism and unf...,3.9,10.4,28.6,0.10,0.10,0.40,0.40,10
What scholarships are available for stud...,3.6,10.3,0.9,0.10,0.10,0.00,0.00,10
What are the grading criteria and grade ...,3.9,10.5,28.4,0.00,0.00,0.00,0.00,10
What are the conditions for course withd...,3.6,11.2,28.1,0.10,0.10,0.00,0.00,10
What happens if a student misses an exam...,3.7,9.9,0.8,0.30,0.30,0.00,0.00,10
What are the disciplinary actions for ru...,3.2,9.9,27.7,0.10,0.10,0.00,0.00,10
AVERAGE,3.4,10.5,23.5,0.17,0.17,0.09,0.09, 9
